ImageNumber,ObjectNumber,Children_Cells_Count,Children_Nuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,1,729.0214285714286,143.6,0,1
1,2,1,1,125.83495145631068,201.36893203883494,0,2
1,3,1,1,350.9080188679245,248.2193396226415,0,3
1,4,1,1,798.9506172839506,259.5679012345679,0,4
1,5,1,1,674.3208879919273,385.93440968718465,0,5
1,6,1,1,687.8785046728972,420.4018691588785,0,6
1,7,1,1,586.4967320261438,421.7843137254902,0,7
1,8,1,1,430.60130718954247,433.4640522875817,0,8
1,9,1,1,293.8046875,437.96875,0,9
1,10,0,0,444.12345679012344,441.39506172839504,0,10
1,11,1,1,985.0416666666666,633.1833333333333,0,11
1,12,1,1,835.7632311977716,755.1364902506964,0,12
1,13,0,0,819.8899082568807,756.7798165137615,0,13
1,14,2,2,579.7611940298508,805.3507462686567,0,14
1,15,1,1,86.98850574712644,815.6896551724138,0,15
1,16,0,1,964.855305466238,835.2186495176849,0,16
1,17,1,1,833.919540229885,837.1494252873563,0,17
1,18,1,1,750.5069637883008,901.9526462395543,0,18
1,19,0,0,675.3020134228188,1011.3422818791946,0,19
